SKU,DESCRIPCION,MODELO_FORECAST,HORIZONTE,FORECAST
SL25611-26100,TERMOSTATO METÁLICO,auto_arima,1,52.94
SL25611-26100,TERMOSTATO METÁLICO,auto_arima,2,52.94
SL25611-26100,TERMOSTATO METÁLICO,auto_arima,3,52.94
FG-0027,FILTRO GASOLINA,auto_arima,1,45.29
FG-0027,FILTRO GASOLINA,auto_arima,2,45.29
FG-0027,FILTRO GASOLINA,auto_arima,3,45.29
WT1J0121253P,RADIADOR DE AGUA,auto_arima,1,0.0
WT1J0121253P,RADIADOR DE AGUA,auto_arima,2,48.8
WT1J0121253P,RADIADOR DE AGUA,auto_arima,3,36.7
VAM8005,HORQUILLA EMBRAGUE,auto_arima,1,36.32
VAM8005,HORQUILLA EMBRAGUE,auto_arima,2,36.32
VAM8005,HORQUILLA EMBRAGUE,auto_arima,3,36.32
TRUD1094,JGO. PASTILLA DE FRENO,auto_arima,1,34.56
TRUD1094,JGO. PASTILLA DE FRENO,auto_arima,2,34.56
TRUD1094,JGO. PASTILLA DE FRENO,auto_arima,3,34.56
KIT077,JGO MICROFILTRO,auto_arima,1,46.43
KIT077,JGO MICROFILTRO,auto_arima,2,43.24
KIT077,JGO MICROFILTRO,auto_arima,3,40.92
KR25380-1R050,ELECTROVENTILADOR,auto_arima,1,32.95
KR25380-1R050,ELECTROVENTILADOR,auto_arima,2,32.95
KR25380-1R050,ELECTROVENTILADOR,auto_arima,3,32.95
FL01SWI152,BOMBA GASOLINA SUMERGIBLE,auto_arima,1,32.08
FL01SWI152,BOMBA GASOLINA SUMERGIBLE,auto_arima,2,32.08
FL01SWI152,BOMBA GASOLINA SUMERGIBLE,auto_arima,3,32.08
FL2H0919050B,MODULO GASOLINA SUMERGIBLE,auto_arima,1,31.95
FL2H0919050B,MODULO GASOLINA SUMERGIBLE,auto_arima,2,31.95
FL2H0919050B,MODULO GASOLINA SUMERGIBLE,auto_arima,3,31.95
ALHP-0373,CARTER ACEITE GOLF JETTA PC,auto_arima,1,31.19
ALHP-0373,CARTER ACEITE GOLF JETTA PC,auto_arima,2,31.19
ALHP-0373,CARTER ACEITE GOLF JETTA PC,auto_arima,3,31.19
KR27501-37A00,JUEGO CABLES DE BUJIA,auto_arima,1,30.44
KR27501-37A00,JUEGO CABLES DE BUJIA,auto_arima,2,30.44
KR27501-37A00,JUEGO CABLES DE BUJIA,auto_arima,3,30.44
WT044907385A,TPS MONOPUNTO,auto_arima,1,24.52
WT044907385A,TPS MONOPUNTO,auto_arima,2,24.17
WT044907385A,TPS MONOPUNTO,auto_arima,3,30.09
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,auto_arima,1,41.39
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,auto_arima,2,41.39
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,auto_arima,3,41.39
PRE217,SOKQUET,auto_arima,1,28.74
PRE217,SOKQUET,auto_arima,2,28.74
PRE217,SOKQUET,auto_arima,3,28.74
WT96182951,PROTECTOR DISTRIBUCION INF.,auto_arima,1,48.35
WT96182951,PROTECTOR DISTRIBUCION INF.,auto_arima,2,48.35
WT96182951,PROTECTOR DISTRIBUCION INF.,auto_arima,3,48.35
8-97035303-0,FILTRO AIRE,auto_arima,1,22.31
8-97035303-0,FILTRO AIRE,auto_arima,2,27.0
