SKU,DESCRIPCION,MODELO_TEST,MAE,RMSE,MAPE
SL25611-26100,TERMOSTATO METÁLICO,auto_arima,37.0,47.4482,33.2829
FG-0027,FILTRO GASOLINA,auto_arima,30.2321,34.9314,23.2717
WT1J0121253P,RADIADOR DE AGUA,auto_arima,67.1234,91.9142,100.193
VAM8005,HORQUILLA EMBRAGUE,auto_arima,54.7083,64.731,69.6954
TRUD1094,JGO. PASTILLA DE FRENO,auto_arima,34.3929,35.2721,80.4422
KIT077,JGO MICROFILTRO,auto_arima,28.5374,35.6137,53.6045
KR25380-1R050,ELECTROVENTILADOR,auto_arima,25.9821,29.1168,17.1155
FL01SWI152,BOMBA GASOLINA SUMERGIBLE,auto_arima,29.5476,30.4593,57.2512
FL2H0919050B,MODULO GASOLINA SUMERGIBLE,auto_arima,30.9464,32.2131,45.6101
ALHP-0373,CARTER ACEITE GOLF JETTA PC,auto_arima,20.6964,26.1146,30.486
KR27501-37A00,JUEGO CABLES DE BUJIA,auto_arima,33.6964,33.6964,
WT044907385A,TPS MONOPUNTO,auto_arima,26.764,38.5381,37.2788
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,auto_arima,20.8333,26.7272,33.3356
PRE217,SOKQUET,auto_arima,28.6071,29.4842,44.1845
WT96182951,PROTECTOR DISTRIBUCION INF.,auto_arima,46.9415,49.3558,47.937
8-97035303-0,FILTRO AIRE,auto_arima,22.7738,25.2214,74.4099
FL113RU25,BANDA DISTRIBUCION,auto_arima,66.0,107.2077,52.1005
DKR-1/4-RED,ROJO LITRO USA,auto_arima,12.4107,15.8871,18.8383
USNS-0657,"TENSOR CON BANDA DE ALTERNADOR BETTLE 2011--2019, BORA V 2006---2010, JETTA 2010--->, NEW BEETLE 2005---2010, PASSAT ...",auto_arima,54.1786,88.2625,90.1211
SE94460-1H000,SENSOR NIVEL GASOLINA,auto_arima,20.494,23.0345,38.8551
WT7700111985,TUBO REFRIGERANTE RADIADOR,auto_arima,46.0893,67.1869,72.1254
TRUD1737,JGO. PASTILLA DE FRENO,auto_arima,53.0255,79.4564,74.3887
SP-1149,JGO. PASTILLA DE FRENO,auto_arima,22.7738,23.1915,78.6272
FL93277517,MODULO GASOLINA SUMERGIBLE,auto_arima,16.4702,18.3476,32.477
SL90448854,TUBO CALECFACCION,auto_arima,12.1905,14.5786,127.8766
FL170408B000,MODULO GASOLINA SUMERGIBLE,auto_arima,24.7857,24.7857,
ALHP-2466,TUERCA DE EXPANSION,auto_arima,33.6637,45.0069,61.3225
WT04E919081A,TROMPO ACEITE,auto_arima,19.9345,22.8067,219.2373
1H0422884,RECEPTOR GOMA DIRECCION G V,auto_arima,20.3393,21.8635,103.5837
FL30230002,MODULO GASOLINA SUMERGIBLE,auto_arima,29.7713,38.2935,102.3322
PR18213-65J00,SENSOR OXIGENO GRAND VITARA 2.0,auto_arima,22.2262,25.3447,49.6252
8TF358106-101,MODULO GASOLINA SUMERGIBLE,auto_arima,18.6808,19.5274,23.5251
FIN23300-21030,FILTRO INTANK,auto_arima,26.3333,28.4649,70.1389
TRUD1439,JGO. PASTILLA DE FRENO,auto_arima,42.5869,61.9829,83.5872
FL31110-17000,MODULO GASOLINA SUMERGIBLE,auto_arima,16.3333,19.1356,37.5154
ALHP-0629,JUNTA CARTER AMAROK,auto_arima,25.2245,37.2085,147.2393
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,auto_arima,36.5,42.8657,73.7277
VW026115105A,BOMBA ACEITE,auto_arima,20.2262,24.1236,47.0871
FL111RU17,BANDA DISTRIBUCION CH. AVEO 8 VAL (111 DIENTES),auto_arima,18.8571,19.2271,33.7558
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,auto_arima,26.5048,26.5281,52.7143
FLFILARIS,FILTRO GASOLINA SUMERGIBLE,auto_arima,25.8333,31.3391,53.6446
PR39210-23750,SENSOR OXIGENO,auto_arima,26.0,31.879,54.4244
WT9046588,BASE TERMOSTATO,auto_arima,16.75,20.3014,38.1824
TRUD1468,JGO. PASTILLA DE FRENO,auto_arima,19.1964,19.1964,
FG-55AA,FILTRO GASOLINA,auto_arima,11.3333,12.7271,34.3427
DR96456495,KIT REPARACION FRENOS,auto_arima,8.4337,9.7322,26.9825
FL373919051AA,MODULO GASOLINA SUMERGIBLE,auto_arima,25.4226,34.6328,53.2612
GM96817343,RESERVORIO,auto_arima,10.4226,11.9588,36.0792
FG-0B00,FILTRO GASOLINA,auto_arima,10.2869,12.4881,15.8114
OP1042,BOMBA DE ACEITE,auto_arima,45.9306,63.9483,84.5855
