REFERENCIA,TOTAL_SALES,ABC_CLASS,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,XYZ_CLASS,ABC_XYZ
SL25611-26100,3282,A,52.9355,73.1955,1.3827,Z,AZ
FG-0027,2808,A,45.2903,88.2475,1.9485,Z,AZ
WT1J0121253P,2448,A,39.4839,62.8184,1.591,Z,AZ
VAM8005,2252,A,36.3226,65.5313,1.8041,Z,AZ
TRUD1094,2143,A,34.5645,78.3745,2.2675,Z,AZ
KIT077,2062,A,33.2581,54.1834,1.6292,Z,AZ
KR25380-1R050,2043,A,32.9516,64.2664,1.9503,Z,AZ
FL01SWI152,1989,A,32.0806,45.2471,1.4104,Z,AZ
FL2H0919050B,1981,A,31.9516,52.4913,1.6428,Z,AZ
ALHP-0373,1934,A,31.1935,69.0018,2.2121,Z,AZ
KR27501-37A00,1887,A,30.4355,91.5176,3.0069,Z,AZ
WT044907385A,1862,A,30.0323,52.4435,1.7462,Z,AZ
ENLA-2501,1812,A,29.2258,26.6503,0.9119,Y,AY
PRE217,1782,A,28.7419,42.7442,1.4872,Z,AZ
WT96182951,1746,A,28.1613,41.9201,1.4886,Z,AZ
8-97035303-0,1699,A,27.4032,50.6323,1.8477,Z,AZ
FL113RU25,1560,A,25.1613,45.7533,1.8184,Z,AZ
DKR-1/4-RED,1554,A,25.0645,18.896,0.7539,Y,AY
USNS-0657,1522,A,24.5484,52.0145,2.1189,Z,AZ
SE94460-1H000,1508,A,24.3226,47.9091,1.9697,Z,AZ
WT7700111985,1506,A,24.2903,35.0126,1.4414,Z,AZ
TRUD1737,1481,A,23.8871,35.8942,1.5027,Z,AZ
SP-1149,1469,A,23.6935,52.4419,2.2133,Z,AZ
FL93277517,1438,A,23.1935,16.734,0.7215,Y,AY
SL90448854,1431,A,23.0806,42.5946,1.8455,Z,AZ
FL170408B000,1388,A,22.3871,55.0048,2.457,Z,AZ
ALHP-2466,1385,A,22.3387,37.1049,1.661,Z,AZ
WT04E919081A,1319,A,21.2742,39.7756,1.8697,Z,AZ
1H0422884,1318,A,21.2581,34.2519,1.6112,Z,AZ
FL30230002,1309,A,21.1129,38.0323,1.8014,Z,AZ
PR18213-65J00,1283,A,20.6935,17.4768,0.8446,Y,AY
8TF358106-101,1277,A,20.5968,18.7431,0.91,Y,AY
FIN23300-21030,1276,A,20.5806,25.6958,1.2485,Z,AZ
TRUD1439,1255,A,20.2419,29.0726,1.4363,Z,AZ
FL31110-17000,1223,A,19.7258,34.9184,1.7702,Z,AZ
ALHP-0629,1220,A,19.6774,33.902,1.7229,Z,AZ
USNS-0411,1217,B,19.629,26.3667,1.3432,Z,BZ
VW026115105A,1181,B,19.0484,19.9503,1.0473,Z,BZ
FL111RU17,1181,B,19.0484,48.9751,2.5711,Z,BZ
ALHP-2372,1172,B,18.9032,21.9829,1.1629,Z,BZ
FLFILARIS,1156,B,18.6452,26.3378,1.4126,Z,BZ
WT9046588,1101,B,17.7581,18.065,1.0173,Z,BZ
PR39210-23750,1101,B,17.7581,29.7981,1.678,Z,BZ
TRUD1468,1075,B,17.3387,46.176,2.6632,Z,BZ
FG-55AA,1073,B,17.3065,16.5924,0.9587,Y,BY
DR96456495,1059,B,17.0806,16.1917,0.948,Y,BY
FL373919051AA,1059,C,17.0806,32.2902,1.8905,Z,CZ
FG-0B00,1057,C,17.0484,14.2132,0.8337,Y,CY
GM96817343,1057,C,17.0484,13.5175,0.7929,Y,CY
OP1042,1054,C,17.0,34.0356,2.0021,Z,CZ
