REFERENCIA,DESCRIPCIÓN,TOTAL_SALES,CUM_SHARE,ABC_CLASS,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,XYZ_CLASS,ABC_XYZ
SL25611-26100,TERMOSTATO METÁLICO,3282,0.006476234075804695,A,52.9355,73.1955,1.3827,Z,AZ
FG-0027,FILTRO GASOLINA,2808,0.012017143668997742,A,45.2903,88.2475,1.9485,Z,AZ
WT1J0121253P,RADIADOR DE AGUA,2448,0.01684768023742245,A,39.4839,62.8184,1.591,Z,AZ
VAM8005,HORQUILLA EMBRAGUE,2252,0.02129145815902884,A,36.3226,65.5313,1.8041,Z,AZ
TRUD1094,JGO. PASTILLA DE FRENO,2143,0.025520150914802597,A,34.5645,78.3745,2.2675,Z,AZ
KIT077,JGO MICROFILTRO,2062,0.029589009740003475,A,33.2581,54.1834,1.6292,Z,AZ
KR25380-1R050,ELECTROVENTILADOR,2043,0.0336203766555638,A,32.9516,64.2664,1.9503,Z,AZ
FL01SWI152,BOMBA GASOLINA SUMERGIBLE,1989,0.037545187617408875,A,32.0806,45.2471,1.4104,Z,AZ
FL2H0919050B,MODULO GASOLINA SUMERGIBLE,1981,0.041454212512036875,A,31.9516,52.4913,1.6428,Z,AZ
ALHP-0373,CARTER ACEITE GOLF JETTA PC,1934,0.04527049426176457,A,31.1935,69.0018,2.2121,Z,AZ
KR27501-37A00,JUEGO CABLES DE BUJIA,1887,0.048994032866591944,A,30.4355,91.5176,3.0069,Z,AZ
WT044907385A,TPS MONOPUNTO,1862,0.05266824001136597,A,30.0323,52.4435,1.7462,Z,AZ
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,1812,0.056243784236033274,A,29.2258,26.6503,0.9119,Y,AY
PRE217,SOKQUET,1782,0.05976013070863656,A,28.7419,42.7442,1.4872,Z,AZ
WT96182951,PROTECTOR DISTRIBUCION INF.,1746,0.06320543987876301,A,28.1613,41.9201,1.4886,Z,AZ
8-97035303-0,FILTRO AIRE,1699,0.06655800590398914,A,27.4032,50.6323,1.8477,Z,AZ
FL113RU25,BANDA DISTRIBUCION,1560,0.06963628901131862,A,25.1613,45.7533,1.8184,Z,AZ
DKR-1/4-RED,ROJO LITRO USA,1554,0.07270273256823527,A,25.0645,18.896,0.7539,Y,AY
USNS-0657,"TENSOR CON BANDA DE ALTERNADOR BETTLE 2011--2019, BORA V 2006---2010, JETTA 2010--->, NEW BEETLE 2005---2010, PASSAT ...",1522,0.07570603185628365,A,24.5484,52.0145,2.1189,Z,AZ
SE94460-1H000,SENSOR NIVEL GASOLINA,1508,0.07868170552670213,A,24.3226,47.9091,1.9697,Z,AZ
WT7700111985,TUBO REFRIGERANTE RADIADOR,1506,0.08165343268031636,A,24.2903,35.0126,1.4414,Z,AZ
TRUD1737,JGO. PASTILLA DE FRENO,1481,0.08457582837387721,A,23.8871,35.8942,1.5027,Z,AZ
SP-1149,JGO. PASTILLA DE FRENO,1469,0.08747454496661247,A,23.6935,52.4419,2.2133,Z,AZ
FL93277517,MODULO GASOLINA SUMERGIBLE,1438,0.09031209054888156,A,23.1935,16.734,0.7215,Y,AY
SL90448854,TUBO CALECFACCION,1431,0.0931358233223357,A,23.0806,42.5946,1.8455,Z,AZ
FL170408B000,MODULO GASOLINA SUMERGIBLE,1388,0.09587470598449808,A,22.3871,55.0048,2.457,Z,AZ
ALHP-2466,TUERCA DE EXPANSION,1385,0.09860766887145406,A,22.3387,37.1049,1.661,Z,AZ
WT04E919081A,TROMPO ACEITE,1319,0.10121039670386917,A,21.2742,39.7756,1.8697,Z,AZ
1H0422884,RECEPTOR GOMA DIRECCION G V,1318,0.10381115127788214,A,21.2581,34.2519,1.6112,Z,AZ
FL30230002,MODULO GASOLINA SUMERGIBLE,1309,0.1063941465262759,A,21.1129,38.0323,1.8014,Z,AZ
PR18213-65J00,SENSOR OXIGENO GRAND VITARA 2.0,1283,0.10892583705621418,A,20.6935,17.4768,0.8446,Y,AY
8TF358106-101,MODULO GASOLINA SUMERGIBLE,1277,0.11144568803573966,A,20.5968,18.7431,0.91,Y,AY
FIN23300-21030,FILTRO INTANK,1276,0.11396356575686299,A,20.5806,25.6958,1.2485,Z,AZ
TRUD1439,JGO. PASTILLA DE FRENO,1255,0.1164400050515415,A,20.2419,29.0726,1.4363,Z,AZ
FL31110-17000,MODULO GASOLINA SUMERGIBLE,1223,0.11885330007735173,A,19.7258,34.9184,1.7702,Z,AZ
ALHP-0629,JUNTA CARTER AMAROK,1220,0.12126067532795555,A,19.6774,33.902,1.7229,Z,AZ
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,1217,0.12366213080335296,A,19.629,26.3667,1.3432,Z,AZ
VW026115105A,BOMBA ACEITE,1181,0.12599254897627354,A,19.0484,19.9503,1.0473,Z,AZ
FL111RU17,BANDA DISTRIBUCION CH. AVEO 8 VAL (111 DIENTES),1181,0.1283229671491941,A,19.0484,48.9751,2.5711,Z,AZ
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,1172,0.1306356259964955,A,18.9032,21.9829,1.1629,Z,AZ
FLFILARIS,FILTRO GASOLINA SUMERGIBLE,1156,0.13291671270936273,A,18.6452,26.3378,1.4126,Z,AZ
PR39210-23750,SENSOR OXIGENO,1101,0.13508927021011255,A,17.7581,29.7981,1.678,Z,AZ
WT9046588,BASE TERMOSTATO,1101,0.1372618277108624,A,17.7581,18.065,1.0173,Z,AZ
TRUD1468,JGO. PASTILLA DE FRENO,1075,0.13938308049315673,A,17.3387,46.176,2.6632,Z,AZ
FG-55AA,FILTRO GASOLINA,1073,0.14150038675864682,A,17.3065,16.5924,0.9587,Y,AY
DR96456495,KIT REPARACION FRENOS,1059,0.143590067406507,A,17.0806,16.1917,0.948,Y,AY
FL373919051AA,MODULO GASOLINA SUMERGIBLE,1059,0.1456797480543672,A,17.0806,32.2902,1.8905,Z,AZ
GM96817343,RESERVORIO,1057,0.14776548218542315,A,17.0484,13.5175,0.7929,Y,AY
FG-0B00,FILTRO GASOLINA,1057,0.14985121631647907,A,17.0484,14.2132,0.8337,Y,AY
OP1042,BOMBA DE ACEITE,1054,0.1519310306723286,A,17.0,34.0356,2.0021,Z,AZ
GF-61,FILTRO GASOLINA  UNIVERSAL,1050,0.1540029519945696,A,16.9355,33.4793,1.9769,Z,AZ
WT1J0953235J,INTERRUPTOR PARQUEO,1031,0.15603738140717002,A,16.629,38.4281,2.3109,Z,AZ
13780-78K00,FILTRO AIRE,1022,0.15805405149415125,A,16.4839,45.4702,2.7585,Z,AZ
8-98140266-0,FILTRO AIRE,1016,0.1600588820307197,A,16.3871,20.0373,1.2228,Z,AZ
KR27501-32A00,JUEGO CABLES DE BUJIA,1010,0.16205187301687532,A,16.2903,26.0473,1.5989,Z,AZ
KR93746999,JUEGO CABLES DE BUJIA,1003,0.164031051194216,A,16.1774,24.9286,1.541,Z,AZ
WT5X0121407,RESERVORIO,978,0.1659608979115033,A,15.7742,25.7603,1.6331,Z,AZ
KRGNR-V013H,REGULADOR ALTERNADOR,978,0.16789074462879064,A,15.7742,14.4651,0.917,Y,AY
EP20-1070,JUEGO DE CORREAS DENTADAS,977,0.16981861808767582,A,15.7581,19.5033,1.2377,Z,AZ
TR3731-OEM-0027,PINON 1ERA C/CAMBIO,963,0.17171886592893112,A,15.5323,30.0047,1.9318,Z,AZ
WT25199824,BASE CON TERMOSTATO,959,0.1736112207365779,A,15.4677,28.8705,1.8665,Z,AZ
TRUD299,JGO. PASTILLA DE FRENO,958,0.17550160228582254,A,15.4516,14.6504,0.9481,Y,AY
FLNU3,PREFILTRO,948,0.17737225125104583,A,15.2903,26.999,1.7658,Z,AZ
191955531,RELAY PLUMAS,927,0.1792014617898243,A,14.9516,18.3939,1.2302,Z,AZ
WT1J0121407F,RESERVORIO,920,0.18101685951978783,A,14.8387,32.4635,2.1878,Z,AZ
AVM433,JGO. DE RUEDA LIBRE,918,0.1828283107329471,A,14.8065,25.4735,1.7204,Z,AZ
26109675,SELLOS DE VALVULAS MOTOR 1 8,915,0.18463384217089995,A,14.7581,28.1904,1.9102,Z,AZ
FLREG-2E000,REGUADOR PRESION,911,0.18643148057524428,A,14.6935,17.4417,1.187,Z,AZ
WT6N0953235B,INTERRUPTOR PARQUEO,907,0.1882212259459801,A,14.629,32.1008,2.1943,Z,AZ
WT1H1819031A,RADIADOR CALEFACCION,903,0.19000307828310734,A,14.5645,15.0114,1.0307,Z,AZ
TB06A133062BD,CUERPO ACELERACION,895,0.1917691445530175,A,14.4355,30.4019,2.1061,Z,AZ
ALHP-2261,MESA SUSPENSION POLO 14,889,0.19352337127251487,A,14.3387,22.0066,1.5348,Z,AZ
TH-3387,"FILTRO ACEITE AVEO, OPTRA, DMAX 2,4 GASOLINA",888,0.19527562473361013,A,14.3226,14.5234,1.014,Z,AZ
