REFERENCIA,DESCRIPCIÓN,N_PERIODS,NON_ZERO_PERIODS,PCT_NON_ZERO,ADI,CV2,DEMAND_TYPE
698286,MASCARILLA REJILLA VENTILACION URANIO,62,40,0.6452,1.55,0.876,Lumpy
760655,LETRA EMBLEMA SAVEIRO,62,26,0.4194,2.3846,1.7539,Lumpy
1784527,ANTENA TECHO,62,26,0.4194,2.3846,2.3115,Lumpy
9029858,FILTRO AIRE CHEVROLET SAIL CAB,62,16,0.2581,3.875,4.4706,Lumpy
13272719,FILTRO AIRE,62,35,0.5645,1.7714,1.0663,Lumpy
24103565,FILTRO ACEITE SAIL 2012 2017 1.4 N200 N300 M18X1.5,62,18,0.2903,3.4444,4.0044,Lumpy
26109675,SELLOS DE VALVULAS MOTOR 1 8,62,25,0.4032,2.48,3.6488,Lumpy
90799322,FILTRO AIRE,62,47,0.7581,1.3191,0.5487,Erratic
95981206,FILTRO AIRE CABINA AVEO EMOTION 1.6 2007-2018,62,13,0.2097,4.7692,5.6736,Lumpy
96386780,INYECTOR COMBUSTIBLE,62,26,0.4194,2.3846,2.2673,Lumpy
96425700,FILTRO AIRE CHEVROLET SPARK 10/ COB,62,17,0.2742,3.6471,3.9762,Lumpy
96536696,FILTRO AIRE,62,23,0.371,2.6957,2.4814,Lumpy
96539649,FILTRO AIRE CABINA AVEO FAMILY CHEVITAXI,62,25,0.4032,2.48,2.1558,Lumpy
96553450,FILTRO AIRE,62,8,0.129,7.75,12.2439,Lumpy
96827723,FILTRO AIRE,62,35,0.5645,1.7714,0.9777,Lumpy
113711333,BOTON PALANCA FRENO GOL,62,21,0.3387,2.9524,2.7854,Lumpy
131411811,BRIDA RULIMAN EMBRAGUE GOL,62,27,0.4355,2.2963,1.887,Lumpy
191411329,COJIN PERNO B E G V,62,46,0.7419,1.3478,0.4976,Lumpy
191955531,RELAY PLUMAS,62,32,0.5161,1.9375,1.5135,Lumpy
357412135,KIT TOPE GUARDAPOLVO DEL SUSP G V,62,18,0.2903,3.4444,3.5911,Lumpy
373868403,MANIJA INT IZQ PLASTICA GOL 98,62,23,0.371,2.6957,3.0109,Lumpy
