REFERENCIA,DESCRIPCIÓN,AVG_MONTHLY_SALES,AVG_STOCK,INVENTORY_TURNOVER_PROXY
698286,MASCARILLA REJILLA VENTILACION URANIO,6.0484,49.3387,0.122589
760655,LETRA EMBLEMA SAVEIRO,3.1452,27.6452,0.113769
1784527,ANTENA TECHO,6.1613,80.5161,0.076522
9029858,FILTRO AIRE CHEVROLET SAIL CAB,0.5484,16.6129,0.03301
13272719,FILTRO AIRE,2.5484,61.2258,0.041623
24103565,FILTRO ACEITE SAIL 2012 2017 1.4 N200 N300 M18X1.5,3.6129,33.5323,0.107744
26109675,SELLOS DE VALVULAS MOTOR 1 8,14.7581,125.8065,0.117308
90799322,FILTRO AIRE,8.3065,37.7258,0.22018
95981206,FILTRO AIRE CABINA AVEO EMOTION 1.6 2007-2018,0.3871,4.4839,0.086331
96386780,INYECTOR COMBUSTIBLE,1.6935,57.3387,0.029536
96425700,FILTRO AIRE CHEVROLET SPARK 10/ COB,0.9355,16.7581,0.055823
96536696,FILTRO AIRE,1.0323,72.4032,0.014257
96539649,FILTRO AIRE CABINA AVEO FAMILY CHEVITAXI,1.2258,11.8065,0.103825
96553450,FILTRO AIRE,1.1129,23.5484,0.04726
96827723,FILTRO AIRE,10.6613,74.1935,0.143696
113711333,BOTON PALANCA FRENO GOL,11.9839,112.8226,0.106219
131411811,BRIDA RULIMAN EMBRAGUE GOL,7.7903,52.629,0.148023
191411329,COJIN PERNO B E G V,11.5161,47.8871,0.240485
191955531,RELAY PLUMAS,14.9516,122.6613,0.121893
357412135,KIT TOPE GUARDAPOLVO DEL SUSP G V,1.7742,17.5,0.101382
373868403,MANIJA INT IZQ PLASTICA GOL 98,1.4516,25.7903,0.056285
373868404,MANIJA INT DER PLASTICA GOL 98,3.0968,27.6774,0.111888
377121275,COJIN SUP RADIADOR AGUA GOL,1.9355,24.871,0.077821
377199339,COJIN AMORTIG VIBRACION MOTOR GOL,8.0645,75.2419,0.107181
377399113,SOPORTE DEL GOL 97,2.9355,26.871,0.109244
377412375,CAPERUZA,0.2258,13.8548,0.016298
377598131,KIT TOPE GUARDAPOLVO POST SUSP GOL,0.4194,12.3871,0.033854
377601165,EMBLEMA ARO R15,1.2258,16.7258,0.073288
377857043,MOLDURA PORTA REJILLA IZQ GOL 00,2.6774,27.8871,0.096009
377906383,RELAY B COMBUSTIBLE GOL 97,2.5161,42.5,0.059203
377953516,KIT COBERTURA COL DIRECCION GOL 95,1.0484,11.629,0.090153
811412365,ANILLO ESPACIADOR SOPORTE AMORTIGUADOR,0.6452,12.7903,0.050441
811711593,KIT BUJES P CAMBIOS GOL,1.6935,12.8871,0.131414
857407181,BUJE M S SANTANA,0.6774,81.9677,0.008264
3054198113,TERMINAL BARRA DIR MEC GOL IZQUIERDA01 DRIVEWAY,0.3065,11.0645,0.027697
3259112614,RELAY B COMBUSTIBLE GOL 95 VERDE,2.8226,27.8548,0.101332
14311561111,HORQUILLA 1RA Y 2DA ALTERNA,4.371,23.1774,0.188587
