REFERENCIA,DESCRIPCIÓN,MONTHS_ANALYZED,STOCKOUT_MONTHS,STOCKOUT_RATE,AVG_INVENTORY_DAYS_PROXY,SERVICE_LEVEL_PROXY
698286,MASCARILLA REJILLA VENTILACION URANIO,62,0,0.0,195.85,1.0
760655,LETRA EMBLEMA SAVEIRO,62,0,0.0,128.25,1.0
1784527,ANTENA TECHO,62,0,0.0,189.69,1.0
9029858,FILTRO AIRE CHEVROLET SAIL CAB,62,0,0.0,307.66,1.0
13272719,FILTRO AIRE,62,0,0.0,493.2,1.0
24103565,FILTRO ACEITE SAIL 2012 2017 1.4 N200 N300 M18X1.5,62,0,0.0,143.97,1.0
26109675,SELLOS DE VALVULAS MOTOR 1 8,62,0,0.0,194.6,1.0
90799322,FILTRO AIRE,62,0,0.0,117.33,1.0
95981206,FILTRO AIRE CABINA AVEO EMOTION 1.6 2007-2018,62,0,0.0,107.69,1.0
96386780,INYECTOR COMBUSTIBLE,62,0,0.0,723.42,1.0
96425700,FILTRO AIRE CHEVROLET SPARK 10/ COB,62,0,0.0,237.67,1.0
96536696,FILTRO AIRE,62,0,0.0,1105.37,1.0
96539649,FILTRO AIRE CABINA AVEO FAMILY CHEVITAXI,62,0,0.0,153.88,1.0
96553450,FILTRO AIRE,62,0,0.0,131.51,1.0
96827723,FILTRO AIRE,62,0,0.0,138.26,1.0
113711333,BOTON PALANCA FRENO GOL,62,0,0.0,112.53,1.0
131411811,BRIDA RULIMAN EMBRAGUE GOL,62,0,0.0,107.1,1.0
191411329,COJIN PERNO B E G V,62,0,0.0,104.87,1.0
191955531,RELAY PLUMAS,62,0,0.0,189.8,1.0
357412135,KIT TOPE GUARDAPOLVO DEL SUSP G V,62,0,0.0,122.71,1.0
373868403,MANIJA INT IZQ PLASTICA GOL 98,62,0,0.0,350.29,1.0
373868404,MANIJA INT DER PLASTICA GOL 98,62,0,0.0,83.54,1.0
377121275,COJIN SUP RADIADOR AGUA GOL,62,0,0.0,107.81,1.0
377199339,COJIN AMORTIG VIBRACION MOTOR GOL,62,0,0.0,390.13,1.0
377399113,SOPORTE DEL GOL 97,62,0,0.0,182.14,1.0
377412375,CAPERUZA,62,0,0.0,227.5,1.0
377598131,KIT TOPE GUARDAPOLVO POST SUSP GOL,62,0,0.0,241.59,1.0
377601165,EMBLEMA ARO R15,62,0,0.0,238.4,1.0
377857043,MOLDURA PORTA REJILLA IZQ GOL 00,62,0,0.0,115.06,1.0
377906383,RELAY B COMBUSTIBLE GOL 97,62,0,0.0,176.1,1.0
377953516,KIT COBERTURA COL DIRECCION GOL 95,62,0,0.0,187.76,1.0
811412365,ANILLO ESPACIADOR SOPORTE AMORTIGUADOR,62,0,0.0,200.1,1.0
811711593,KIT BUJES P CAMBIOS GOL,62,0,0.0,200.9,1.0
857407181,BUJE M S SANTANA,62,0,0.0,1853.88,1.0
3054198113,TERMINAL BARRA DIR MEC GOL IZQUIERDA01 DRIVEWAY,62,0,0.0,246.11,1.0
3259112614,RELAY B COMBUSTIBLE GOL 95 VERDE,62,0,0.0,154.26,1.0
14311561111,HORQUILLA 1RA Y 2DA ALTERNA,62,0,0.0,108.54,1.0
7865217374831,REFRIGERADORA 16 370LT IND TOP,62,0,0.0,130.83,1.0
7865217388258,SERVICIOS LOGISTICOS,62,0,0.0,90.64,1.0
7865217414384,MODULOS DE GALPON 2,62,0,0.0,448.23,1.0
7865217471462,MODULOS DE GALPON 1,62,0,0.0,1274.19,1.0
013311269.1,ANILLO SINCRONIZADO 1 Y 2 GOL,62,0,0.0,114.82,1.0
014301467.2,TAPA C C GOL HASTA 2008,62,0,0.0,164.22,1.0
014311313,CHAVETA CC GOL 1234,62,0,0.0,266.97,1.0
014941521.1,TROMPO DE RETRO GOL 95,62,0,0.0,139.72,1.0
020141741B,VARILLA ACCIONAMIENTO C C G V TOPRAN,62,0,0.0,865.71,1.0
020301227D,ANILLO HERMETICO ARBOL CC GV,62,0,0.0,128.36,1.0
020311113B,RETEN ACEITE MOTRIZ C C G V 2 0,62,0,0.0,129.94,1.0
020409289B,TAPON CAJA CAMBIOS GOLF,62,0,0.0,197.04,1.0
020945415/A,TROMPO DE RETRO G V,62,0,0.0,544.0,1.0
026109107B,PROTECTOR SUP B D G V 1 8,62,0,0.0,107.34,1.0
026121041P,EMPAQUE BOMBA DE AGUA,62,0,0.0,530.29,1.0
026121053G,MANGUERA AGUA GOL,62,0,0.0,664.3,1.0
026121121A,BRIDA TUBULADURA GOL,62,0,0.0,587.39,1.0
028103500,CAUCHO DESFOGUE T V,62,0,0.0,151.11,1.0
030145299F,POLEA TENSOR B ALT POLO 1 6 BR S A,62,0,0.0,861.96,1.0
032105401AH,BRAZO DE BIELA POLO 1 6 BR,62,0,0.0,279.46,1.0
032129620B,FILTRO DE AIRE,62,0,0.0,98.26,1.0
036103383AM,EMPAQUE CABEZOTE POLO 1 4,62,0,0.0,95.79,1.0
036103464G,RESPIRADERO ACEITE POLO 1 6,62,0,0.0,174.17,1.0
036109601AD,VALVULA ADMISION POLO 1 4,62,0,0.0,202.31,1.0
036109611K,VALVULA ESCAPE POLO 1 4,62,0,0.0,377.81,1.0
036109675C,SELLOS DE VALVULAS POLO 6MM,62,0,0.0,135.88,1.0
037121065K,CANERIA DE AGUA 18 GOLF,62,0,0.0,150.02,1.0
037121065L,CANERIA DE AGUA GOLF VENTO,62,0,0.0,136.11,1.0
037121121A,BRIDA TUBULADORA G V,62,0,0.0,464.11,1.0
037121133C,BRIDA S A G V 83 92 PASSAT 95,62,0,0.0,214.19,1.0
037145271E,BANDA DIRECCION HIDRAULICA SIN AIRE GOLF VENTO,62,0,0.0,92.35,1.0
037253039D,JUNTA COLECTOR ESCAPE G V 2 0,62,0,0.0,237.22,1.0
03L103085,RETEN ARBOL LEVAS AMAROK,62,0,0.0,267.5,1.0
03L115264A,BANDA BOMBA DE ACEITE AMAROK,62,0,0.0,134.98,1.0
03L145100E,BOMBA VACIO SISTEMA FRENO AMAROK,62,0,0.0,1364.49,1.0
03L903137R,BANDA ALTERNADOR CRAFTER 6PK 1613,62,0,0.0,106.61,1.0
04,TRANSPORTE QUITO,62,0,0.0,241.19,1.0
048129717D,JUNTA COLECTOR ADMISION G V 1 8 ALEMAN,62,0,0.0,982.86,1.0
056919081C,TROMPO PRESION ACEITE BAJA G VCAFE,62,0,0.0,126.28,1.0
056919081E,TROMPO PRESION ACEITE ALTA G V BLANCO,62,0,0.0,376.63,1.0
058109601C,VALVULA ADMISION GOLF 1 8 TURBO,62,0,0.0,160.07,1.0
058109611E,VALVULA ESCAPE GOLF IV 1 8 TURBO,62,0,0.0,111.76,1.0
068103085A,RETEN EJE MOTOR ARBOL LEVAS CIGUENAL,62,0,0.0,557.49,1.0
068117021B,RADIADOR DE ACEITE,62,0,0.0,159.69,1.0
06A103663B,TUBO ALOJAMIENTO V ACEITE AKL AGU,62,0,0.0,242.49,1.0
06A121011H,BOMBA DE AGUA GOLFIV JETTA 20,62,0,0.0,114.73,1.0
06A133398F,JUNTA TUBULADORA ASPIRACION,62,0,0.0,137.33,1.0
06A198012A,JGO EMPAQUES MOTOR GOLF IV 1 8 TURBO,62,0,0.0,134.37,1.0
06A919081D,TROMPO PRESION ACEITE GOLF IV,62,0,0.0,116.03,1.0
06C103485N,TAPA DE ACEITE AMAROK,62,0,0.0,130.64,1.0
085141165H,RULIMAN EMBRAGUE POLO 1 4,62,0,0.0,100.52,1.0
0K74R-23-603,FILTRO AIRE,62,0,0.0,100.83,1.0
1109101-K08-A1,FILTRO AIRE,62,0,0.0,104.59,1.0
1109101-k80,FILTRO AIRE,62,0,0.0,128.8,1.0
13780-58B00,FILTRO AIRE,62,0,0.0,191.53,1.0
13780-62B00,FILTRO AIRE,62,0,0.0,161.0,1.0
13780-65J00,FILTRO AIRE,62,0,0.0,505.42,1.0
13780-77E00,FILTRO AIRE,62,0,0.0,157.41,1.0
13780-78K00,FILTRO AIRE,62,0,0.0,412.73,1.0
1500A098,FILTRO AIRE,62,0,0.0,117.79,1.0
16546-1HK0J,FILTRO AIRE,62,0,0.0,60.0,1.0
16546-86G00,FILTRO AIRE,62,0,0.0,629.41,1.0
16546-ED000,FILTRO AIRE,62,0,0.0,110.94,1.0
16546-F4101,FILTRO  AIRE,62,0,0.0,358.62,1.0
17720-3640,FILTRO AIRE,62,0,0.0,150.77,1.0
17801-2460,FILTRO AIRE,62,0,0.0,116.84,1.0
17801-3380,FILTRO AIRE,62,0,0.0,120.9,1.0
17801-3390,FILTRO AIRE,62,0,0.0,160.84,1.0
17801-38051,FILTRO AIRE,62,0,0.0,193.56,1.0
17801-78020,FILTRO AIRE,62,0,0.0,215.26,1.0
17801-78110,FILTRO AIRE,62,0,0.0,946.2,1.0
191512131B,TOPE AMORTIGUADOR POST G V,62,0,0.0,2000.8,1.0
191711208A,CASQUILLO VARILLA MANDO,62,0,0.0,172.48,1.0
191953227A,RELAY DIRECCIONALES,62,0,0.0,89.87,1.0
1C0945511A,INTERRUPTOR LUZ FRENO GLFIV POLO JETTA,62,0,0.0,574.21,1.0
1H0253147B,CAUCHO SOPORTE ESCAPE G V,62,0,0.0,255.0,1.0
1H0422371D,DEPOSITO ACEITE HIDRAULICO G V,62,0,0.0,517.5,1.0
1H0422884,RECEPTOR GOMA DIRECCION G V,62,0,0.0,212.08,1.0
1H0698151F,JGO PASTILLAS G V 95 96 FRASLEE PD328,62,0,0.0,240.22,1.0
1H0711595,VARILLA SELECT MEC P C FRONTAL G V HUESO,62,0,0.0,170.08,1.0
1H0819373,MANGUERA ENTRADA AGUA A A G V 2 0,62,0,0.0,97.33,1.0
1H0819373C,MANGUERA RETORNO AGUA A A G V,62,0,0.0,437.19,1.0
1H0959481B,TERMOSWICHT G V PC ALEMAN,62,0,0.0,213.2,1.0
1H0959565,CONMUTADOR ESPEJO ELECTRICO G V,62,0,0.0,131.45,1.0
1H1721335A,CABLE EMBRAGUE G V AUTOMATICO,62,0,0.0,263.1,1.0
1H4839461A,LEVANTAVIDRIO ELECT POST IZQ G V,62,0,0.0,95.06,1.0
1H4839462A,LEVANTAVIDRIO ELEC DER POST G V,62,0,0.0,302.57,1.0
1H685714701C,MANIJA GUANTERA G V,62,0,0.0,160.27,1.0
1HM121101JAHU,MANGUERA PULPO GV 2 0,62,0,0.0,650.6,1.0
1J0121086BG,MANGUERA DOBLE GOLFIV,62,0,0.0,197.01,1.0
1J0122291,ACOPLE RADIADOR SUP AGUA GOLFIV,62,0,0.0,843.59,1.0
1J0253115J,JUNTA TUBO ESCAPE GOLF IV APK,62,0,0.0,145.82,1.0
1J0698123DS,KIT REPARO MORDAZA DEL,62,0,0.0,150.98,1.0
1J0711067L,CASQUILLO PALANCA C GOLF IV,62,0,0.0,1127.78,1.0
1J0721174C,CAUCHO PEDAL EMBRAGUE,62,0,0.0,393.96,1.0
1J0819644,FILTRO CALEFACCION GOLF JETTA IV PC,62,0,0.0,177.15,1.0
1J0823593C,VARILLA CAPOT GOLF IV,62,0,0.0,1383.27,1.0
1J0919379A,TERMOSENSOR EXTERIOR 2 POLOS GOLF IV,62,0,0.0,167.93,1.0
1J0927183,TROMPO PEDAL EMBRAGUE GOLF 01,62,0,0.0,174.8,1.0
1J0945511A,INTERRUPTOR LUZ DE FRENO,62,0,0.0,169.6,1.0
1J4837461H,LEVANTAVIDRIO ELECTR DEL LH CON BASE,62,0,0.0,128.22,1.0
1J4837462F,LEVANTAVIDRIO ELECT DER,62,0,0.0,104.23,1.0
1J4837462H,LEVANTAVIDRIO ELECT DEL DER CON BASE,62,0,0.0,88.64,1.0
1J6955707A,BRAZO LIMPIAPARABRISAS PLUMA POSTERIOR,62,0,0.0,192.51,1.0
1K0122291R,ACOPLE REFRIGERANTE AGUA BORA,62,0,0.0,447.91,1.0
1K0721261R,CILINDRO RECEPTOR EMBRAGUE JETTA 25,62,0,0.0,928.63,1.0
1K4959857B,CONMUTADOR VENTANAS AMAROK Y BORA,62,0,0.0,960.74,1.0
1K5955651,BOMBA LAVAPARABRISAS BORA,62,0,0.0,376.39,1.0
1N0271289-411,FARO NEBLINERO LH,62,0,0.0,177.97,1.0
1N0271295-421,FARO NEBLINERO RH,62,0,0.0,211.17,1.0
1ND012755-111,FARO NEBLINERO LH,62,0,0.0,150.95,1.0
1ND012755-121,FARO NEBLINERO RH,62,0,0.0,120.19,1.0
1WA013Z40,FILTRO AIRE,62,0,0.0,446.9,1.0
23304-EV290,FILTRO DE GASOLINA HINO,62,0,0.0,130.7,1.0
23390-0L010,FILTRO DE GASOLINA DMAX TOYOTA VIGO,62,0,0.0,162.0,1.0
28113-08000,FILTRO AIRE,62,0,0.0,520.4,1.0
28113-1G000,FILTRO AIRE,62,0,0.0,183.3,1.0
28113-1R100,FILTRO AIRE,62,0,0.0,151.05,1.0
28113-2S000,FILTRO AIRE,62,0,0.0,574.15,1.0
28113-4H000,FILTRO AIRE,62,0,0.0,481.21,1.0
28113-A0100,FILTRO AIRE,62,0,0.0,178.17,1.0
28113-D3300,FILTRO AIRE,62,0,0.0,331.55,1.0
28113-G2100,FILTRO AIRE,62,0,0.0,106.29,1.0
28113-G6000,FILTRO AIRE,62,0,0.0,245.19,1.0
28113-H9100,FILTRO AIRE,62,0,0.0,133.13,1.0
305407175.2,PLACA FIJACION ROTULA GOL,62,0,0.0,468.21,1.0
305419809A,BUJE B D GOL,62,0,0.0,296.52,1.0
305419831.1,GUARDAPOLVO DE LA DIRECCION GOL,62,0,0.0,127.21,1.0
305711025.1,KIT BASE PALANCA CAMBIOS GOL,62,0,0.0,113.28,1.0
305721338A,GRAPA SEGURIDAD EMBRAGUE GOL,62,0,0.0,153.17,1.0
307411309.6,BARRA ESTABILIZADORA GOL,62,0,0.0,115.27,1.0
307419812.1,TERMINAL DIRECCION H GOL DRIVEWAY,62,0,0.0,123.57,1.0
321611939E,MANGUERA DE VACIO G V 1 8,62,0,0.0,131.91,1.0
325422375.1,TAPA DEPOSITO HIDRAULICO,62,0,0.0,525.36,1.0
325907411.1,RELAY DE POTENCIA GOL 97,62,0,0.0,131.27,1.0
327823397.1,PRESILLA VARILLA APOYO CAPOT GOL,62,0,0.0,103.89,1.0
34810-65J00,SENSOR NIVEL GASOLINA,62,0,0.0,123.4,1.0
373868404A,MANIJA INT DER CROMADA GOL 98 PLASTICA,62,0,0.0,109.9,1.0
377399541A,SOPORTE BASE C C GOL,62,0,0.0,141.5,1.0
377407365B,ROTULA M S D H P G IZQ GOL 98,62,0,0.0,378.0,1.0
377711141A,MANOPLA P C GOL,62,0,0.0,298.38,1.0
377819371B,MANGUERA CALEFACCION ALIM CON FALLA GOL,62,0,0.0,171.05,1.0
3B0837187B,BOTON PUERTA GOLF IV,62,0,0.0,1758.69,1.0
3BD853601,EMBLEMA DELANTERO PASSAT 98 GOL V,62,0,0.0,136.14,1.0
3G0598611A,CUBO RUEDA POST TIGUAN,62,0,0.0,125.5,1.0
4RP008189-151,RELAY BOMBA COMBUSTIBLE,62,0,0.0,794.39,1.0
4RV008188-461,RELAY PRECALIENTAMIENTO,62,0,0.0,451.92,1.0
5-87310455-0,FILTRO AIRE,62,0,0.0,293.44,1.0
5DA006623-951,BOBINA ENCENDIDO,62,0,0.0,340.8,1.0
5DA193175-381,BOBINA ENCENDIDO,62,0,0.0,399.58,1.0
5DA193175-441,BOBINA ENCENDIDO,62,0,0.0,134.26,1.0
5DA193175-481,BOBINA ENCENDIDO,62,0,0.0,1043.96,1.0
5DA193175-501,BOBINA ENCENDIDO,62,0,0.0,128.04,1.0
5DA193175-731,BOBINA ENCENDIDO,62,0,0.0,574.25,1.0
5DA193175-951,BOMBA DE ENCENDIDO,62,0,0.0,227.78,1.0
5DA193175-971,BOMBA ENCENDIDO,62,0,0.0,208.67,1.0
5DA230036-181,BOBINA ENCENDIDO,62,0,0.0,373.88,1.0
5DA358000-171,BOBINA ENCENDIDO,62,0,0.0,598.49,1.0
5DA358000-651,BOBINA ENCENDIDO,62,0,0.0,125.78,1.0
5DA358057-031,BOBINA ENCENDIDO,62,0,0.0,454.03,1.0
5DA358057-471,BOBINA ENCENDIDO,62,0,0.0,105.74,1.0
5DA358057-891,BOBINA ENCENDIDO,62,0,0.0,109.02,1.0
5DA358168-431,BOBINA ENCENDIDO,62,0,0.0,266.05,1.0
5K0498621,CUBO RUEDA DEL GOLF IV 18 BORA,62,0,0.0,255.0,1.0
5U0501117,PUNTA EJE POSTERIOR,62,0,0.0,118.86,1.0
5X0121293A,DEFLECTOR SUPERIOR,62,0,0.0,611.38,1.0
5X0412319,PLATO SUPERIOR AMORTIG DEL GOL,62,0,0.0,370.79,1.0
