FECHA,REFERENCIA,DESCRIPCIÓN,VENTAS,STOCK,had_original_record,record_type
2021-01-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,50,1,demanda_cero_registrada
2021-02-01,698286,MASCARILLA REJILLA VENTILACION URANIO,9,41,1,venta_observada
2021-03-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,41,1,demanda_cero_registrada
2021-04-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,41,1,demanda_cero_registrada
2021-05-01,698286,MASCARILLA REJILLA VENTILACION URANIO,10,31,1,venta_observada
2021-06-01,698286,MASCARILLA REJILLA VENTILACION URANIO,11,20,1,venta_observada
2021-07-01,698286,MASCARILLA REJILLA VENTILACION URANIO,8,62,1,venta_observada
2021-08-01,698286,MASCARILLA REJILLA VENTILACION URANIO,6,56,1,venta_observada
2021-09-01,698286,MASCARILLA REJILLA VENTILACION URANIO,14,42,1,venta_observada
2021-10-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,42,1,demanda_cero_registrada
2021-11-01,698286,MASCARILLA REJILLA VENTILACION URANIO,11,31,1,venta_observada
2021-12-01,698286,MASCARILLA REJILLA VENTILACION URANIO,4,27,1,venta_observada
2022-01-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,27,1,demanda_cero_registrada
2022-02-01,698286,MASCARILLA REJILLA VENTILACION URANIO,9,18,1,venta_observada
2022-03-01,698286,MASCARILLA REJILLA VENTILACION URANIO,14,104,1,venta_observada
2022-04-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,104,1,demanda_cero_registrada
2022-05-01,698286,MASCARILLA REJILLA VENTILACION URANIO,18,86,1,venta_observada
2022-06-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,86,1,demanda_cero_registrada
2022-07-01,698286,MASCARILLA REJILLA VENTILACION URANIO,8,78,1,venta_observada
2022-08-01,698286,MASCARILLA REJILLA VENTILACION URANIO,7,71,1,venta_observada
2022-09-01,698286,MASCARILLA REJILLA VENTILACION URANIO,7,64,1,venta_observada
2022-10-01,698286,MASCARILLA REJILLA VENTILACION URANIO,9,55,1,venta_observada
2022-11-01,698286,MASCARILLA REJILLA VENTILACION URANIO,4,51,1,venta_observada
2022-12-01,698286,MASCARILLA REJILLA VENTILACION URANIO,4,47,1,venta_observada
2023-01-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,47,1,demanda_cero_registrada
2023-02-01,698286,MASCARILLA REJILLA VENTILACION URANIO,16,31,1,venta_observada
2023-03-01,698286,MASCARILLA REJILLA VENTILACION URANIO,8,23,1,venta_observada
2023-04-01,698286,MASCARILLA REJILLA VENTILACION URANIO,23,100,1,venta_observada
2023-05-01,698286,MASCARILLA REJILLA VENTILACION URANIO,8,92,1,venta_observada
2023-06-01,698286,MASCARILLA REJILLA VENTILACION URANIO,10,82,1,venta_observada
2023-07-01,698286,MASCARILLA REJILLA VENTILACION URANIO,11,71,1,venta_observada
2023-08-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,71,1,demanda_cero_registrada
2023-09-01,698286,MASCARILLA REJILLA VENTILACION URANIO,3,68,1,venta_observada
2023-10-01,698286,MASCARILLA REJILLA VENTILACION URANIO,19,49,1,venta_observada
2023-11-01,698286,MASCARILLA REJILLA VENTILACION URANIO,6,43,1,venta_observada
2023-12-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,43,1,demanda_cero_registrada
2024-01-01,698286,MASCARILLA REJILLA VENTILACION URANIO,7,36,1,venta_observada
2024-02-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,36,1,demanda_cero_registrada
2024-03-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,36,1,demanda_cero_registrada
2024-04-01,698286,MASCARILLA REJILLA VENTILACION URANIO,8,28,1,venta_observada
2024-05-01,698286,MASCARILLA REJILLA VENTILACION URANIO,0,28,1,demanda_cero_registrada
2024-06-01,698286,MASCARILLA REJILLA VENTILACION URANIO,12,66,1,venta_observada
2024-07-01,698286,MASCARILLA REJILLA VENTILACION URANIO,11,55,1,venta_observada
