REFERENCIA,DESCRIPCIÓN,TOTAL_SALES,RANK,CUM_SALES,CUM_SHARE
SL25611-26100,TERMOSTATO METÁLICO,3282,1,3282,0.006476234075804695
FG-0027,FILTRO GASOLINA,2808,2,6090,0.012017143668997742
WT1J0121253P,RADIADOR DE AGUA,2448,3,8538,0.01684768023742245
VAM8005,HORQUILLA EMBRAGUE,2252,4,10790,0.02129145815902884
TRUD1094,JGO. PASTILLA DE FRENO,2143,5,12933,0.025520150914802597
KIT077,JGO MICROFILTRO,2062,6,14995,0.029589009740003475
KR25380-1R050,ELECTROVENTILADOR,2043,7,17038,0.0336203766555638
FL01SWI152,BOMBA GASOLINA SUMERGIBLE,1989,8,19027,0.037545187617408875
FL2H0919050B,MODULO GASOLINA SUMERGIBLE,1981,9,21008,0.041454212512036875
ALHP-0373,CARTER ACEITE GOLF JETTA PC,1934,10,22942,0.04527049426176457
KR27501-37A00,JUEGO CABLES DE BUJIA,1887,11,24829,0.048994032866591944
WT044907385A,TPS MONOPUNTO,1862,12,26691,0.05266824001136597
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,1812,13,28503,0.056243784236033274
PRE217,SOKQUET,1782,14,30285,0.05976013070863656
WT96182951,PROTECTOR DISTRIBUCION INF.,1746,15,32031,0.06320543987876301
8-97035303-0,FILTRO AIRE,1699,16,33730,0.06655800590398914
FL113RU25,BANDA DISTRIBUCION,1560,17,35290,0.06963628901131862
DKR-1/4-RED,ROJO LITRO USA,1554,18,36844,0.07270273256823527
USNS-0657,"TENSOR CON BANDA DE ALTERNADOR BETTLE 2011--2019, BORA V 2006---2010, JETTA 2010--->, NEW BEETLE 2005---2010, PASSAT ...",1522,19,38366,0.07570603185628365
SE94460-1H000,SENSOR NIVEL GASOLINA,1508,20,39874,0.07868170552670213
WT7700111985,TUBO REFRIGERANTE RADIADOR,1506,21,41380,0.08165343268031636
TRUD1737,JGO. PASTILLA DE FRENO,1481,22,42861,0.08457582837387721
SP-1149,JGO. PASTILLA DE FRENO,1469,23,44330,0.08747454496661247
FL93277517,MODULO GASOLINA SUMERGIBLE,1438,24,45768,0.09031209054888156
SL90448854,TUBO CALECFACCION,1431,25,47199,0.0931358233223357
FL170408B000,MODULO GASOLINA SUMERGIBLE,1388,26,48587,0.09587470598449808
ALHP-2466,TUERCA DE EXPANSION,1385,27,49972,0.09860766887145406
WT04E919081A,TROMPO ACEITE,1319,28,51291,0.10121039670386917
1H0422884,RECEPTOR GOMA DIRECCION G V,1318,29,52609,0.10381115127788214
FL30230002,MODULO GASOLINA SUMERGIBLE,1309,30,53918,0.1063941465262759
PR18213-65J00,SENSOR OXIGENO GRAND VITARA 2.0,1283,31,55201,0.10892583705621418
8TF358106-101,MODULO GASOLINA SUMERGIBLE,1277,32,56478,0.11144568803573966
FIN23300-21030,FILTRO INTANK,1276,33,57754,0.11396356575686299
TRUD1439,JGO. PASTILLA DE FRENO,1255,34,59009,0.1164400050515415
FL31110-17000,MODULO GASOLINA SUMERGIBLE,1223,35,60232,0.11885330007735173
ALHP-0629,JUNTA CARTER AMAROK,1220,36,61452,0.12126067532795555
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,1217,37,62669,0.12366213080335296
VW026115105A,BOMBA ACEITE,1181,38,63850,0.12599254897627354
FL111RU17,BANDA DISTRIBUCION CH. AVEO 8 VAL (111 DIENTES),1181,39,65031,0.1283229671491941
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,1172,40,66203,0.1306356259964955
FLFILARIS,FILTRO GASOLINA SUMERGIBLE,1156,41,67359,0.13291671270936273
PR39210-23750,SENSOR OXIGENO,1101,42,68460,0.13508927021011255
WT9046588,BASE TERMOSTATO,1101,43,69561,0.1372618277108624
TRUD1468,JGO. PASTILLA DE FRENO,1075,44,70636,0.13938308049315673
FG-55AA,FILTRO GASOLINA,1073,45,71709,0.14150038675864682
DR96456495,KIT REPARACION FRENOS,1059,46,72768,0.143590067406507
FL373919051AA,MODULO GASOLINA SUMERGIBLE,1059,47,73827,0.1456797480543672
GM96817343,RESERVORIO,1057,48,74884,0.14776548218542315
FG-0B00,FILTRO GASOLINA,1057,49,75941,0.14985121631647907
OP1042,BOMBA DE ACEITE,1054,50,76995,0.1519310306723286
GF-61,FILTRO GASOLINA  UNIVERSAL,1050,51,78045,0.1540029519945696
WT1J0953235J,INTERRUPTOR PARQUEO,1031,52,79076,0.15603738140717002
13780-78K00,FILTRO AIRE,1022,53,80098,0.15805405149415125
8-98140266-0,FILTRO AIRE,1016,54,81114,0.1600588820307197
KR27501-32A00,JUEGO CABLES DE BUJIA,1010,55,82124,0.16205187301687532
KR93746999,JUEGO CABLES DE BUJIA,1003,56,83127,0.164031051194216
WT5X0121407,RESERVORIO,978,57,84105,0.1659608979115033
KRGNR-V013H,REGULADOR ALTERNADOR,978,58,85083,0.16789074462879064
EP20-1070,JUEGO DE CORREAS DENTADAS,977,59,86060,0.16981861808767582
TR3731-OEM-0027,PINON 1ERA C/CAMBIO,963,60,87023,0.17171886592893112
WT25199824,BASE CON TERMOSTATO,959,61,87982,0.1736112207365779
TRUD299,JGO. PASTILLA DE FRENO,958,62,88940,0.17550160228582254
FLNU3,PREFILTRO,948,63,89888,0.17737225125104583
191955531,RELAY PLUMAS,927,64,90815,0.1792014617898243
WT1J0121407F,RESERVORIO,920,65,91735,0.18101685951978783
AVM433,JGO. DE RUEDA LIBRE,918,66,92653,0.1828283107329471
26109675,SELLOS DE VALVULAS MOTOR 1 8,915,67,93568,0.18463384217089995
FLREG-2E000,REGUADOR PRESION,911,68,94479,0.18643148057524428
WT6N0953235B,INTERRUPTOR PARQUEO,907,69,95386,0.1882212259459801
WT1H1819031A,RADIADOR CALEFACCION,903,70,96289,0.19000307828310734
TB06A133062BD,CUERPO ACELERACION,895,71,97184,0.1917691445530175
ALHP-2261,MESA SUSPENSION POLO 14,889,72,98073,0.19352337127251487
TH-3387,"FILTRO ACEITE AVEO, OPTRA, DMAX 2,4 GASOLINA",888,73,98961,0.19527562473361013
FLITF007,SEMI MODULO GASOLINA SUMERGIBLE,882,74,99843,0.19701603864429254
PR76396,KIT DISTRIBUCION,881,75,100724,0.19875447929657283
TB06F133062E,CUERPO ACELARACION,875,76,101599,0.20048108039844034
DKR-035-MT,JGO MOQUETA,875,77,102474,0.20220768150030782
RD5Z0407625,RULIMAN RUEDA,866,78,103340,0.2039165232765561
AVM465,JGO.DE RUEDA LIBRE,865,79,104205,0.20562339179440225
GM55566404,CARTER,861,80,105066,0.20732236727863987
TRUD941,JGO. PASTILLA DE FRENO,860,81,105926,0.20901936950447536
ALHP-1015,TERMINAL B D IZQ GOLF IV,841,82,106767,0.21067887982067027
XI-26,FILTRO GASOLINA,833,83,107600,0.21232260406964812
FG-0028,FILTRO GASOLINA,828,84,108428,0.2139564620266153
EP20-1215,JUEGO CORREA DENTADAS,822,85,109250,0.21557848043316968
5DA193175-381,BOBINA ENCENDIDO,818,86,110068,0.21719260580611552
TRUD632,JGO. PASTILLA DE FRENO,816,87,110884,0.21880278466225708
USNS-2480,"BOBINA DE IGNICION TOUAREG 2006---2010, GOLF MK5 GTI 2007---2013, AUDI  Q3",816,88,111700,0.22041296351839867
FLMF001KIT,JGO MICROFILTRO,815,89,112515,0.2220211691161381
DR8973088680,DISCO FRENO,810,90,113325,0.22361950842186687
DR2121-3501070,DISCO FRENO,805,91,114130,0.22520798143558496
FL31110-1U000,MODULO GASOLINA SUMERGIBLE,801,92,114931,0.2267885614156945
USNS-2481,SOPORTE PARA CHOQUES BORA V,800,93,115731,0.22836716813740193
8DB355018-111,JGO. PASTILLA DE FRENO,799,94,116530,0.2299438016007072
DR7700716947,DISCO FRENO,785,95,117315,0.23149280944638262
OES-13182,MOBIL SUPER 1000 20W50 GALON,779,96,118094,0.23302997774164522
SP-1053,JGO. PASTILLA DE FRENO,776,97,118870,0.23456122626170142
GM93259505,CARTER,775,98,119645,0.23609050152335548
ALHP-1296,DISCO DE FRENO DEL AMAROK 303MM BD 6382 50,773,99,120418,0.2376158302682053
TRUD1281,JGO. PASTILLA DE FRENO,770,100,121188,0.23913523923784868
KR0K2BW-18-160,JUEGO DE BUJIAS         SHUMA 03/CARENS I-II 02/ CLARUS,765,101,121953,0.2406447819154814
17801-2460,FILTRO AIRE,762,102,122715,0.24214840481790773
XI-06,FILTRO GASOLINA,762,103,123477,0.24365202772033404
HP1039,JGO. PASTILLA DE FRENO,759,104,124236,0.24514973084755395
PR59,REGULADOR PRESION GASOLINA,758,105,124994,0.24664546071637172
EP20-1236,JUEGO CORREA DENTADAS,753,106,125747,0.24813132429317883
WT0271156119,VARILLA MEDIR ACEITE,747,107,126494,0.24960534831957315
TRUD1054,JGO. PASTILLA DE FRENO,747,108,127241,0.25107937234596744
113711333,BOTON PALANCA FRENO GOL,743,109,127984,0.2525455033387532
TB12631186,CUERPO ACELERACION,734,110,128718,0.2539938750059198
CR3611-ATQ-1658,MOLDURA PANEL INSTRUMENTOS,734,111,129452,0.25544224667308635
FL77020-0K020,MODULO GASOLINA SUMERGIBLE,733,112,130185,0.2568886450818508
FL60307000,BOMBA GASOLINA SUMERGIBLE,719,113,130904,0.2583074178729853
KR96535081,PLATO SUSPENSION,716,114,131620,0.2597202708889134
191411329,COJIN PERNO B E G V,714,115,132334,0.2611291773880373
USNS-1010,"BOMBA DIRECCION HIDRAULICA GOLF IV, JETTA IV, GOL 2011",714,116,133048,0.2625380838871612
FL17040-JN00A,MODULO GASOLINA SUMERGIBLE,709,117,133757,0.2639371240942744
EP21-0512,JUEGO DE CADENA DE DISTRIBUCIÓN,708,118,134465,0.26533419104298545
TRUD319,JGO. PASTILLA DE FRENO,706,119,135171,0.26672731147489226
DK2481023400,TENSOR,702,120,135873,0.26811253887319053
KR27430-23700,CABLE DE BUJIA,700,121,136573,0.2694938197546845
OES-12585-MOBIL,ACEITE MOBIL DELVAC MX 15W40 MEDIA,697,122,137270,0.2708691808609721
PRTK137,KIT DISTRIBUCION,690,123,137960,0.27223072915844476
FL8-97943184-0,MODULO GASOLINA SUMERGIBLE,685,124,138645,0.27358241116390675
DK90500229,POLEA ACCESORIOS,675,125,139320,0.27491436058534735
ALHP-0379,POLEA D H GOLF IV,669,126,139989,0.2762344704563752
PRC1480/C1542,BOBINA ENCENDIDO,667,127,140656,0.27755063381059875
FL31110-1R500,MODULO GASOLINA SUMERGIBLE,665,128,141321,0.2788628506480181
AVM453,JGO. DE RUEDA LIBRE,665,129,141986,0.28017506748543736
TH-1042,"FILTRO ACEITE HYUNDAI, KIA, MITSUBISHI OUTLANDER, HONDA",664,130,142650,0.2814853110644545
96827723,FILTRO AIRE,661,131,143311,0.28278963486826525
USNS-0394,EMPAQUE CABEZOTE AMAROK	AMAROK 2009--->,658,132,143969,0.2840880388968696
WT279980491,VALVULA IAC,657,133,144626,0.2853844696670718
XI-72,FILTRO GASOLINA,655,134,145281,0.28667695392046977
FL770200R020,MODULO GASOLINA SUMERGIBLE,653,135,145934,0.2879654916570635
TB06A133062AB,CUERPO ACELERACION,650,136,146584,0.28924810961845077
TRUD1188S,JGO. PASTILLA DE FRENO,650,137,147234,0.29053072757983806
TRUD1055,JGO. PASTILLA DE FRENO,645,138,147879,0.2918034792492146
FL94740642,MODULO GASOLINA SUMERGIBLE,639,139,148518,0.29306439136817847
TRD5001,KIT DISTRIBUCION,638,140,149156,0.29432333022874013
TRUD864,JGO. PASTILLA DE FRENO,634,141,149790,0.29557437605569326
HP9409,JGO. PASTILLA DE FRENO,630,142,150420,0.29681752884903784
FL42345250,MODULO GASOLINA SUMERGIBLE,625,143,151045,0.29805081535037176
EP20-1345,KIT DISTRIBUCION,619,144,151664,0.2992722623012929
PRKIARIO,REGULADOR PRESION GASOLINA,619,145,152283,0.30049370925221397
DKR1867,BOMBA GASOLINA SUMERGIBLE,618,146,152901,0.301713182944733
TRUDB2002,JGO. PASTILLA DE FRENO,608,147,153509,0.3029129240532306
FLAC2,PREFILTRO,607,148,154116,0.3041106919033261
TRUD831,JGO. PASTILLA DE FRENO,605,149,154721,0.30530451323661734
TRUD1161,JGO. PASTILLA DE FRENO,602,150,155323,0.3064924147947022
EP20-1041,JUEGO DE CORREAS DENTADAS,601,151,155924,0.3076783430943849
TRUD1322,JGO. PASTILLA DE FRENO,600,152,156524,0.30886229813566546
FLE8542,MODULO GASOLINA SUMERGIBLE,599,153,157123,0.3100442799185439
FL96563403,MODULO GASOLINA SUMERGIBLE,599,154,157722,0.3112262617014223
ETBK5003,KIT DISTRIBUCION,596,155,158318,0.3124023237090944
USNS-2115,"CONMUTADOR ENCENDIDO VENTO, GOLF II 1984---1991, GOLF III 1993---1998, GOLF IV 1998---2002, JETTA 1984---1998, PASSAT 19...",596,156,158914,0.3135783857167664
PG0301.L9,CARTER,592,157,159506,0.31474655469082985
CINTAEMBALAJE,CINTA EMBALAJE TRANSP 48MMX1004,589,158,160095,0.31590880388968695
ENLA-2500,GRUPO HORQUILLAS TRANSMISION AMAROK,589,159,160684,0.31707105308854405
FG-6030A,FILTRO GASOLINA,588,160,161272,0.31823132902899903
013311269.1,ANILLO SINCRONIZADO 1 Y 2 GOL,587,161,161859,0.31938963171105184
13780-58B00,FILTRO AIRE,587,162,162446,0.32054793439310464
WT191711190B,ANILLO COJINETE MECANICO CAMBIO MARCHAS,582,163,163028,0.3216963707831468
06A121011H,BOMBA DE AGUA GOLFIV JETTA 20,582,164,163610,0.3228448071731889
TS028-GIN-1811,"RIEL DE INYECCION CON INYECTORES VIRTUS, POLO, T-CROSS",581,165,164191,0.32399127030482894
WT1J0411314R,BUJE BARRA ESTALIBILIZADORA,580,166,164771,0.32513576017806683
FL30SPA088,BOMBA GASOLINA SUMERGIBLE,580,167,165351,0.32628025005130473
97133-G6000,FILTRO AIRE CABINA KIA PICANTO,578,168,165929,0.32742079340773833
AVM456,JGO. DE RUEDA LIBRE,576,169,166505,0.3285573902473677
FL30464038,BOMBA GASOLINA SUMERGIBLE     PEUGEOT RENAULT CITROEN BMW E2,576,170,167081,0.32969398708699704
PR96417177K,BANDA DISTRIBUCION GATES BLANCA,575,171,167656,0.3308286106682242
FL70AMA007,BOMBA GASOLINA SUMERGIBLE,574,172,168230,0.3319612609910493
WT7701041348,TUBO REFRIGERANTE RADIADOR,574,173,168804,0.3330939113138744
FL17040-ET00A,MODULO GASOLINA SUMERGIBLE,568,174,169372,0.33421472208628666
KR0K558-18-140B,JUEGO CABLES DE BUJIA,566,175,169938,0.33533158634189464
DKR1935,BOMBA GASOLINA SUMERGIBLE,566,176,170504,0.33644845059750267
XI-706,FILTRO COMBUSTIBLE,565,177,171069,0.3375633415947085
OES-28130-43600-C,"FILTRO DE AIRE H-100 G-95, MTL-300",563,178,171632,0.33867428607511013
FL1510065D00,MODULO GASOLINA SUMERGIBLE,563,179,172195,0.3397852305555117
CR1921-Z.E-2635,ELEVA VENTANA MANUAL DELA LH,562,180,172757,0.3408942017775112
TRUD2260,JGO. PASTILLA DE FRENO,561,181,173318,0.3420011997411085
OES-9EN0094,ENI I-SINT PROFESSIONAL 10W30 4EC 1QT,561,182,173879,0.34310819770470585
FD-WK939,FILTRO COMBUSTIBLE,560,183,174439,0.34421322240990104
FL127RUT025,BANDA DISTRIBUCION,559,184,174998,0.34531627385669406
FL2310-87403,MODULO GASOLINA SUMERGIBLE,559,185,175557,0.3464193253034871
CR1921-Z.E-2637,ELEVA VENTANA MANUAL DELA LH,558,186,176115,0.34752040349187807
HU7008Z,FILTRO ACEITE,557,187,176672,0.34861950842186684
CR2381-ROD-1631,GUARDAFANGO DELA LH,554,188,177226,0.34971269357664925
PRTK272,KIT DISTRIBUCION,554,189,177780,0.35080587873143165
FLHILUX,SENSOR NIVEL GASOLINA,553,190,178333,0.3518970906278119
FL2034703594,MODULO GASOLINA SUMERGIBLE,553,191,178886,0.35298830252419217
FL77020-02240,MODULO GASOLINA SUMERGIBLE,553,192,179439,0.3540795144205724
FL5N0919087E,MODULO GASOLINA SUMERGIBLE,550,193,179989,0.35516480654174626
DBDD889,JGO. PASTILLA DE FRENO,549,194,180538,0.35624812540451795
FIN16400-4M405,FILTRO INTANK,548,195,181086,0.35732947100888757
TRUD254S,JGO. PASTILLA DE FRENO,544,196,181630,0.3584029235796486
PR1109,REGULADOR PRESION GASOLINA.       AVEO KIA HYUNDAI,542,197,182172,0.3594724296336054
FL31110-G6100,MODULO GASOLINA SUMERGIBLE,541,198,182713,0.36053996242916003
EP20-1840,KIT DISTRIBUCION,540,199,183253,0.3616055219663125
FLAB399H307AD,MODULO GASOLINA COMBUSTIBLE,540,200,183793,0.36267108150346505
FL31110-H7000,MODULO GASOLINA SUMERGIBLE,538,201,184331,0.3637326945238133
ALHP-2266,CABLE EMBRAGUE POLO HATCH 1 4,534,202,184865,0.364786414510553
TRUD766,JGO. PASTILLA DE FRENO,534,203,185399,0.3658401344972927
TRUD888,JGO. PASTILLA DE FRENO,532,204,185931,0.36688990796722815
TRD9001,KIT DISTRIBUCION,532,205,186463,0.36793968143716355
NS111105M000,CARTER,531,206,186994,0.3689874816486969
WT032121110B,TERMOSTATO,531,207,187525,0.37003528186023016
WT032121121K,"TOMA DE AGUA GOL V 1.6, POLO BRASIL 1.6, FOX 1.6",527,208,188052,0.37107518903815495
3BD853601,EMBLEMA DELANTERO PASSAT 98 GOL V,527,209,188579,0.3721150962160797
TRUD1915,JGO. PASTILLA DE FRENO,527,210,189106,0.3731550033940044
DR3222,DISCO FRENO,526,211,189632,0.3741929373135271
FL78880KIT,KIT DE REPARACION SZ NEXT,525,212,190157,0.3752288979746476
ALHP-0428,KIT BANDAS Y TENSOR DISTRIBUCION AMAROK,524,213,190681,0.37626288537736596
FLJ43-1106610,MODULO GASOLINA SUMERGIBLE,524,214,191205,0.3772968727800843
TRUD784,JGO. PASTILLA DE FRENO,524,215,191729,0.37833086018280265
WT2Q0121321,TAPA RESERVORIO,519,216,192248,0.37935498129351036
KR96395500,ELECTROVENTILADOR,519,217,192767,0.380379102404218
PR8253279850,SENSOR OXIGENO,518,218,193285,0.3814012502565236
FL30E2530M,MODULO GASOLINA SUMERGIBLE,518,219,193803,0.38242339810882914
FL47608007,BOMBA GASOLINA,516,220,194319,0.3834415994443304
8-971478609-0,FILTRO AIRE,516,221,194835,0.3844598007798317
FIN17040-JR50A,FILTRO INTANK,515,222,195350,0.3854760288569309
90799322,FILTRO AIRE,515,223,195865,0.38649225693403
WT3B0121321,TAPA RESERVORIO,515,224,196380,0.38750848501112917
1J0823593C,VARILLA CAPOT GOLF IV,515,225,196895,0.38852471308822834
EP20-1251,JUEGO DE CORREAS DENTADAS,514,226,197409,0.3895389679069253
6Q0711303,PALANCA FRENO MANO POLOBR,511,227,197920,0.39054730295041595
FL04578815AE,MODULO GASOLINA SUMERGIBLE,510,228,198430,0.39155366473550446
KR96536522,ELECTROVENTILADOR,510,229,198940,0.3925600265205929
FL17040-8M21B,MODULO GASOLINA SUMERGIBLE,510,230,199450,0.3935663883056814
SP-1222,JGO. PASTILLA DE FRENO,506,231,199956,0.3945648570571613
EP20-1926,JUEGO DE CORREAS DENTADAS,505,232,200461,0.39556135255023916
