REFERENCIA,DESCRIPCIÓN,TOTAL_SALES,RANK,CUM_SALES,CUM_SHARE
SL25611-26100,TERMOSTATO METÁLICO,3282,1,3282,0.006476234075804695
FG-0027,FILTRO GASOLINA,2808,2,6090,0.012017143668997742
WT1J0121253P,RADIADOR DE AGUA,2448,3,8538,0.01684768023742245
VAM8005,HORQUILLA EMBRAGUE,2252,4,10790,0.02129145815902884
TRUD1094,JGO. PASTILLA DE FRENO,2143,5,12933,0.025520150914802597
KIT077,JGO MICROFILTRO,2062,6,14995,0.029589009740003475
KR25380-1R050,ELECTROVENTILADOR,2043,7,17038,0.0336203766555638
FL01SWI152,BOMBA GASOLINA SUMERGIBLE,1989,8,19027,0.037545187617408875
FL2H0919050B,MODULO GASOLINA SUMERGIBLE,1981,9,21008,0.041454212512036875
ALHP-0373,CARTER ACEITE GOLF JETTA PC,1934,10,22942,0.04527049426176457
KR27501-37A00,JUEGO CABLES DE BUJIA,1887,11,24829,0.048994032866591944
WT044907385A,TPS MONOPUNTO,1862,12,26691,0.05266824001136597
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,1812,13,28503,0.056243784236033274
PRE217,SOKQUET,1782,14,30285,0.05976013070863656
WT96182951,PROTECTOR DISTRIBUCION INF.,1746,15,32031,0.06320543987876301
8-97035303-0,FILTRO AIRE,1699,16,33730,0.06655800590398914
FL113RU25,BANDA DISTRIBUCION,1560,17,35290,0.06963628901131862
DKR-1/4-RED,ROJO LITRO USA,1554,18,36844,0.07270273256823527
USNS-0657,"TENSOR CON BANDA DE ALTERNADOR BETTLE 2011--2019, BORA V 2006---2010, JETTA 2010--->, NEW BEETLE 2005---2010, PASSAT ...",1522,19,38366,0.07570603185628365
SE94460-1H000,SENSOR NIVEL GASOLINA,1508,20,39874,0.07868170552670213
WT7700111985,TUBO REFRIGERANTE RADIADOR,1506,21,41380,0.08165343268031636
TRUD1737,JGO. PASTILLA DE FRENO,1481,22,42861,0.08457582837387721
SP-1149,JGO. PASTILLA DE FRENO,1469,23,44330,0.08747454496661247
FL93277517,MODULO GASOLINA SUMERGIBLE,1438,24,45768,0.09031209054888156
SL90448854,TUBO CALECFACCION,1431,25,47199,0.0931358233223357
FL170408B000,MODULO GASOLINA SUMERGIBLE,1388,26,48587,0.09587470598449808
ALHP-2466,TUERCA DE EXPANSION,1385,27,49972,0.09860766887145406
WT04E919081A,TROMPO ACEITE,1319,28,51291,0.10121039670386917
1H0422884,RECEPTOR GOMA DIRECCION G V,1318,29,52609,0.10381115127788214
FL30230002,MODULO GASOLINA SUMERGIBLE,1309,30,53918,0.1063941465262759
PR18213-65J00,SENSOR OXIGENO GRAND VITARA 2.0,1283,31,55201,0.10892583705621418
8TF358106-101,MODULO GASOLINA SUMERGIBLE,1277,32,56478,0.11144568803573966
FIN23300-21030,FILTRO INTANK,1276,33,57754,0.11396356575686299
TRUD1439,JGO. PASTILLA DE FRENO,1255,34,59009,0.1164400050515415
FL31110-17000,MODULO GASOLINA SUMERGIBLE,1223,35,60232,0.11885330007735173
ALHP-0629,JUNTA CARTER AMAROK,1220,36,61452,0.12126067532795555
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,1217,37,62669,0.12366213080335296
VW026115105A,BOMBA ACEITE,1181,38,63850,0.12599254897627354
FL111RU17,BANDA DISTRIBUCION CH. AVEO 8 VAL (111 DIENTES),1181,39,65031,0.1283229671491941
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,1172,40,66203,0.1306356259964955
FLFILARIS,FILTRO GASOLINA SUMERGIBLE,1156,41,67359,0.13291671270936273
PR39210-23750,SENSOR OXIGENO,1101,42,68460,0.13508927021011255
WT9046588,BASE TERMOSTATO,1101,43,69561,0.1372618277108624
TRUD1468,JGO. PASTILLA DE FRENO,1075,44,70636,0.13938308049315673
FG-55AA,FILTRO GASOLINA,1073,45,71709,0.14150038675864682
DR96456495,KIT REPARACION FRENOS,1059,46,72768,0.143590067406507
FL373919051AA,MODULO GASOLINA SUMERGIBLE,1059,47,73827,0.1456797480543672
GM96817343,RESERVORIO,1057,48,74884,0.14776548218542315
FG-0B00,FILTRO GASOLINA,1057,49,75941,0.14985121631647907
OP1042,BOMBA DE ACEITE,1054,50,76995,0.1519310306723286
