SKU,DESCRIPCION,ABC_CLASS,XYZ_CLASS,ABC_XYZ,CURRENT_STOCK,LAST_MONTH_SALES,F1,F2,F3,FORECAST_3M,AVG_FORECAST_MONTH,MONTHS_OF_COVER,SAFETY_STOCK,REORDER_POINT,RECOMMENDED_PURCHASE,ALERT_STATUS,ACTION,MODEL_USED,TOTAL_SALES,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,SAFETY_FACTOR,PRIORITY_SCORE
SL25611-26100,TERMOSTATO METÁLICO,A,Z,AZ,178.0,0.0,52.94,52.94,52.94,158.82,52.94,3.36,76.23,129.17,4.11,OK,Sin accion inmediata,auto_arima,3282,52.9355,73.1955,1.3827,1.44,4.11
FG-0027,FILTRO GASOLINA,A,Z,AZ,792.0,0.0,45.29,45.29,45.29,135.87,45.29,17.49,65.22,110.51,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,2808,45.2903,88.2475,1.9485,1.44,0.0
WT1J0121253P,RADIADOR DE AGUA,A,Z,AZ,142.0,233.0,0.0,48.8,36.7,85.5,28.5,4.98,41.04,69.54,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,2448,39.4839,62.8184,1.591,1.44,0.0
VAM8005,HORQUILLA EMBRAGUE,A,Z,AZ,248.0,166.0,36.32,36.32,36.32,108.96,36.32,6.83,52.3,88.62,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,2252,36.3226,65.5313,1.8041,1.44,0.0
TRUD1094,JGO. PASTILLA DE FRENO,A,Z,AZ,1657.0,0.0,34.56,34.56,34.56,103.68,34.56,47.95,49.77,84.33,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,2143,34.5645,78.3745,2.2675,1.44,0.0
KIT077,JGO MICROFILTRO,A,Z,AZ,213.0,0.0,46.43,43.24,40.92,130.59,43.53,4.89,62.68,106.21,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,2062,33.2581,54.1834,1.6292,1.44,0.0
KR25380-1R050,ELECTROVENTILADOR,A,Z,AZ,557.0,49.0,32.95,32.95,32.95,98.85,32.95,16.9,47.45,80.4,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,2043,32.9516,64.2664,1.9503,1.44,0.0
FL01SWI152,BOMBA GASOLINA SUMERGIBLE,A,Z,AZ,171.0,0.0,32.08,32.08,32.08,96.24,32.08,5.33,46.2,78.28,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1989,32.0806,45.2471,1.4104,1.44,0.0
FL2H0919050B,MODULO GASOLINA SUMERGIBLE,A,Z,AZ,219.0,24.0,31.95,31.95,31.95,95.85,31.95,6.85,46.01,77.96,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1981,31.9516,52.4913,1.6428,1.44,0.0
ALHP-0373,CARTER ACEITE GOLF JETTA PC,A,Z,AZ,226.0,22.0,31.19,31.19,31.19,93.57,31.19,7.25,44.91,76.1,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1934,31.1935,69.0018,2.2121,1.44,0.0
KR27501-37A00,JUEGO CABLES DE BUJIA,A,Z,AZ,713.0,0.0,30.44,30.44,30.44,91.32,30.44,23.42,43.83,74.27,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1887,30.4355,91.5176,3.0069,1.44,0.0
WT044907385A,TPS MONOPUNTO,A,Z,AZ,298.0,21.0,24.52,24.17,30.09,78.78,26.26,11.35,37.81,64.07,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1862,30.0323,52.4435,1.7462,1.44,0.0
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,A,Y,AY,188.0,25.0,41.39,41.39,41.39,124.17,41.39,4.54,49.67,91.06,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1812,29.2258,26.6503,0.9119,1.2,0.0
PRE217,SOKQUET,A,Z,AZ,418.0,0.0,28.74,28.74,28.74,86.22,28.74,14.54,41.39,70.13,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1782,28.7419,42.7442,1.4872,1.44,0.0
WT96182951,PROTECTOR DISTRIBUCION INF.,A,Z,AZ,654.0,110.0,48.35,48.35,48.35,145.05,48.35,13.53,69.62,117.97,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1746,28.1613,41.9201,1.4886,1.44,0.0
8-97035303-0,FILTRO AIRE,A,Z,AZ,301.0,0.0,22.31,27.0,23.99,73.3,24.43,12.32,35.18,59.61,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1699,27.4032,50.6323,1.8477,1.44,0.0
FL113RU25,BANDA DISTRIBUCION,A,Z,AZ,140.0,25.0,13.07,24.99,24.99,63.05,21.02,6.66,30.27,51.29,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1560,25.1613,45.7533,1.8184,1.44,0.0
DKR-1/4-RED,ROJO LITRO USA,A,Y,AY,46.0,0.0,25.06,25.06,25.06,75.18,25.06,1.84,30.07,55.13,34.19,OK,Sin accion inmediata,auto_arima,1554,25.0645,18.896,0.7539,1.2,22.57
USNS-0657,"TENSOR CON BANDA DE ALTERNADOR BETTLE 2011--2019, BORA V 2006---2010, JETTA 2010--->, NEW BEETLE 2005---2010, PASSAT ...",A,Z,AZ,188.0,0.0,24.55,24.55,24.55,73.65,24.55,7.66,35.35,59.9,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1522,24.5484,52.0145,2.1189,1.44,0.0
